  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout,mag_in,mag_out,Ratio,Error
10,0,0,0,0,0,0,0,0,,
30,0,0,0,0,0,0,0,0,,
50,0,0,0,0,0,0,0,0,,
70,0,0,0,0,0,0,0,0,,
90,0,0,0,0,0,0,0,0,,
110,0,0,0,0,0,0,0,0,,
130,0,0,0,0,0,0,0,0,,
150,0,0,0,0,0,0,0,0,,
170,0,0,0,0,0,0,0,0,,
190,0,0,0,0,0,0,0,0,,
210,0,0,0,0,0,0,0,0,,
230,0,0,0,0,0,0,0,0,,
250,0,0,0,0,0,0,0,0,,
270,0,0,0,0,0,0,0,0,,
290,0,0,0,0,0,0,0,0,,
310,0,0,0,0,0,0,0,0,,
330,0,0,0,0,0,0,0,0,,
350,0,0,0,0,0,0,0,0,,
370,0,0,0,0,0,0,0,0,,
390,0,0,0,0,0,0,0,0,,
410,0,0,0,0,0,0,0,0,,
430,0,54272,0,89373,0,0,54272,89373,1.64676076061321,-0.00000076061321
450,53,54272,0,89373,57,0,54272,89373.0181766287,1.64676109553045,-0.00000109553045
470,106,54272,0,89373,113,0,54272,89373.0714365351,1.64676207688191,-0.00000207688191
490,159,54272,0,89373,171,0,54272,89373.163589525,1.64676377486595,-0.00000377486595
510,212,54272,0,89373,227,0,54272,89373.288280112,1.64676607237824,-0.00000607237824
530,265,54272,0,89372,284,0,54272,89372.4512363849,1.64675064925532,0.00000935074468
550,318,54272,0,89372,340,0,54272,89372.6467326553,1.64675425141243,0.00000574858757
570,371,54272,0,89372,398,0,54272,89372.8862015768,1.64675866379674,0.00000133620326
590,424,54272,0,89372,454,0,54272,89373.153127771,1.64676358210073,-0.00000358210073
610,477,54272,0,89372,511,0,54272,89373.4608538799,1.64676925217202,-0.00000925217202
630,530,54272,0,89371,567,0,54272,89372.7986022593,1.64675704971734,0.00000295028266
650,583,54272,0,89371,625,0,54272,89373.1853857744,1.64676417647727,-0.00000417647727
670,636,54272,0,89370,681,0,54272,89372.5945746234,1.64675329036379,0.00000670963621
690,689,54272,0,89370,738,0,54272,89373.0470779642,1.64676162805801,-0.00000162805801
710,742,54272,0,89370,795,0,54272,89373.5359320644,1.64677063554069,-0.00001063554069
730,795,54272,0,89369,852,0,54272,89373.0611817677,1.64676188793057,-0.00000188793057
750,848,54272,0,89368,908,0,54272,89372.6126282543,1.64675362301471,0.00000637698529
770,901,54272,0,89368,965,0,54272,89373.2099065486,1.64676462828988,-0.00000462828988
790,954,54272,0,89367,1022,0,54272,89372.8435991605,1.64675787881708,0.00000212118292
810,1007,54272,0,89367,1079,0,54272,89373.5135820451,1.64677022372577,-0.00001022372577
830,1060,54272,0,89366,1135,0,54272,89373.2072883143,1.64676458004706,-0.00000458004706
850,1113,54272,0,89365,1192,0,54272,89372.9494254274,1.64675982874092,0.00000017125908
870,1166,54272,0,89364,1248,0,54272,89372.7139567777,1.64675549006445,0.00000450993555
890,1219,54272,0,89364,1306,0,54272,89373.5426846223,1.64677075996135,-0.00001075996135
910,1272,54272,0,89363,1362,0,54272,89373.3786594196,1.64676773768093,-0.00000773768093
930,1325,54272,0,89362,1419,0,54272,89373.2656055489,1.64676565458337,-0.00000565458337
950,1378,54272,0,89361,1476,0,54272,89373.1889159159,1.64676424152262,-0.00000424152262
970,1431,54272,0,89360,1533,0,54272,89373.1485906142,1.64676349850041,-0.00000349850041
990,1484,54272,0,89359,1589,0,54272,89373.1268447065,1.64676309781667,-0.00000309781667
1010,1537,54272,0,89358,1647,0,54272,89373.1770331569,1.64676402257438,-0.00000402257438
1030,1590,54272,0,89357,1703,0,54272,89373.2267404506,1.64676493846644,-0.00000493846644
1050,1643,54272,0,89356,1760,0,54272,89373.3312347705,1.64676686384822,-0.00000686384822
1070,1696,54272,0,89354,1817,0,54272,89372.4722999202,1.64675103736586,0.00000896263414
1090,1749,54272,0,89353,1873,0,54272,89372.6285727347,1.64675391680304,0.00000608319696
1110,1802,54272,0,89352,1930,0,54272,89372.841534775,1.64675784077932,0.00000215922068
1130,1855,54272,0,89351,1987,0,54272,89373.0908607283,1.64676243478641,-0.00000243478641
1150,1908,54272,0,89350,2043,0,54272,89373.3536855365,1.64676727751947,-0.00000727751947
1170,1961,54272,0,89348,2101,0,54272,89372.6988794677,1.64675521225434,0.00000478774566
1190,2014,54272,0,89347,2157,0,54272,89373.0331699669,1.64676137179332,-0.00000137179332
1210,2067,54272,0,89346,2214,0,54272,89373.4273260235,1.64676863439754,-0.00000863439754
1230,2120,54272,0,89344,2270,0,54272,89372.8327625347,1.64675767914458,0.00000232085542
1250,2173,54272,0,89343,2328,0,54272,89373.3250640257,1.64676675014788,-0.00000675014788
1270,2226,54272,0,89341,2384,0,54272,89372.8019981471,1.64675711228897,0.00000288771103
1290,2279,54272,0,89340,2441,0,54272,89373.34099719,1.6467670437277,-0.0000070437277
1310,2332,54272,0,89338,2497,0,54272,89372.8888030369,1.64675871173049,0.00000128826951
1330,2385,54272,0,89336,2554,0,54272,89372.5003118968,1.64675155350635,0.00000844649365
1350,2438,54272,0,89335,2611,0,54272,89373.1477905976,1.64676348375954,-0.00000348375954
1370,2491,54272,0,89333,2668,0,54272,89372.8320744061,1.64675766646532,0.00000233353468
1390,2544,54272,0,89331,2725,0,54272,89372.5527553063,1.64675251981328,0.00000748018672
1410,2597,54272,0,89330,2782,0,54272,89373.3093490445,1.64676646058823,-0.00000646058823
1430,2650,54272,0,89328,2838,0,54272,89373.0710449182,1.64676206966609,-0.00000206966609
1450,2703,54272,0,89326,2894,0,54272,89372.8678738687,1.64675832609575,0.00000167390425
1470,2756,54272,0,89324,2951,0,54272,89372.7328495666,1.64675583817745,0.00000416182255
1490,2809,54272,0,89322,3008,0,54272,89372.6342232341,1.64675402091749,0.00000597908251
1510,2862,54272,0,89320,3065,0,54272,89372.5719949918,1.6467528743181,0.0000071256819
1530,2915,54272,0,89318,3122,0,54272,89372.5461649158,1.64675239838067,0.00000760161933
1550,2968,54272,0,89317,3178,0,54272,89373.5205360066,1.64677035185743,-0.00001035185743
1570,3021,54272,0,89314,3235,0,54272,89372.5674969674,1.64675279143882,0.00000720856118
1590,3074,54272,0,89312,3292,0,54272,89372.6502236562,1.64675431573659,0.00000568426341
1610,3127,54272,0,89310,3349,0,54272,89372.7693483871,1.64675651069404,0.00000348930596
1630,3180,54272,0,89308,3405,0,54272,89372.8867666251,1.64675867420816,0.00000132579184
1650,3233,54272,0,89306,3462,0,54272,89373.0780492649,1.64676219872614,-0.00000219872614
1670,3286,54272,0,89304,3519,0,54272,89373.3057293955,1.64676639389364,-0.00000639389364
1690,3339,54272,0,89302,3575,0,54272,89373.5298004952,1.64677052256219,-0.00001052256219
1710,3392,54272,0,89299,3632,0,54272,89372.8304631782,1.64675763677731,0.00000236322269
1730,3445,54272,0,89297,3689,0,54272,89373.1667224565,1.64676383259243,-0.00000383259243
1750,3498,54272,0,89295,3745,0,54272,89373.4974698876,1.64676992684787,-0.00000992684787
1770,3551,54272,0,89292,3802,0,54272,89372.906789474,1.64675904314332,0.00000095685668
1790,3604,54272,0,89290,3859,0,54272,89373.3516267573,1.646767239585,-0.000007239585
1810,3657,54272,0,89287,3916,0,54272,89372.833819903,1.64675769862734,0.00000230137266
1830,3710,54272,0,89285,3972,0,54272,89373.3070273222,1.64676641780886,-0.00000641780886
1850,3763,54272,0,89283,4029,0,54272,89373.8604402876,1.64677661483431,-0.00001661483431
1870,3816,54272,0,89280,4085,0,54272,89373.4055801836,1.64676823371506,-0.00000823371506
1890,3869,54272,0,89277,4143,0,54272,89373.0785975285,1.64676220882828,-0.00000220882828
1910,3922,54272,0,89274,4199,0,54272,89372.6953660904,1.64675514751788,0.00000485248212
1930,3975,54272,0,89272,4256,0,54272,89373.393803749,1.64676801672592,-0.00000801672592
1950,4028,54272,0,89269,4313,0,54272,89373.1297986145,1.64676315224452,-0.00000315224452
1970,4081,54272,0,89266,4369,0,54272,89372.8533560387,1.64675805859446,0.00000194140554
1990,4134,54272,0,89263,4426,0,54272,89372.6616197593,1.64675452571785,0.00000547428215
2010,4187,54272,0,89260,4483,0,54272,89372.50633724,1.64675166452756,0.00000833547244
2030,4240,54272,0,89258,4540,0,54272,89373.3862175984,1.64676787694573,-0.00000787694573
2050,4293,54272,0,89255,4596,0,54272,89373.2523801165,1.64676541089542,-0.00000541089542
2070,4346,54272,0,89252,4653,0,54272,89373.2057889835,1.64676455242083,-0.00000455242083
2090,4399,54272,0,89249,4709,0,54272,89373.1429569309,1.64676339469581,-0.00000339469581
2110,4452,54272,0,89246,4766,0,54272,89373.1686357824,1.64676386784682,-0.00000386784682
2130,4505,54272,0,89243,4823,0,54272,89373.2307685025,1.64676501268615,-0.00000501268615
2150,4558,54272,0,89240,4880,0,54272,89373.3293550151,1.64676682921239,-0.00000682921239
