  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
      10,        0,        0,        0,        0,        0,        0
      30,        0,        0,        0,        0,        0,        0
      50,        0,        0,        0,        0,        0,        0
      70,        0,        0,        0,        0,        0,        0
      90,        0,        0,        0,        0,        0,        0
     110,        0,        0,        0,        0,        0,        0
     130,        0,        0,        0,        0,        0,        0
     150,        0,        0,        0,        0,        0,        0
     170,        0,        0,        0,        0,        0,        0
     190,        0,        0,        0,        0,        0,        0
     210,        0,        0,        0,        0,        0,        0
     230,        0,        0,        0,        0,        0,        0
     250,        0,        0,        0,        0,        0,        0
     270,        0,        0,        0,        0,        0,        0
     290,        0,        0,        0,        0,        0,        0
     310,        0,        0,        0,        0,        0,        0
     330,        0,        0,        0,        0,        0,        0
     350,        0,        0,        0,        0,        0,        0
     370,        0,        0,        0,        0,        0,        0
     390,        0,        0,        0,        0,        0,        0
     410,        0,        0,        0,        0,        0,        0
     430,        0,    78336,        0,   129001,        0,        0
     450,        0,    78334,      153,   128998,        0,      163
     470,        0,    78332,      305,   128995,        0,      325
     490,        0,    78330,      457,   128993,        0,      487
     510,        0,    78328,      609,   128992,        0,      649
     530,        0,    78325,      761,   128989,        1,      810
     550,        0,    78322,      913,   128986,        0,      973
     570,        0,    78319,     1065,   128985,        0,     1135
     590,        0,    78315,     1217,   128982,        0,     1297
     610,        0,    78311,     1369,   128979,        0,     1458
     630,        0,    78307,     1521,   128977,        0,     1621
     650,        0,    78303,     1673,   128976,        0,     1783
     670,        0,    78298,     1825,   128973,        0,     1945
     690,        0,    78293,     1977,   128971,        0,     2106
     710,        0,    78288,     2129,   128970,        0,     2269
     730,        0,    78282,     2281,   128967,        0,     2431
     750,        0,    78276,     2433,   128964,        0,     2593
     770,        0,    78270,     2585,   128962,        1,     2755
     790,        0,    78263,     2737,   128959,        0,     2917
     810,        0,    78256,     2889,   128957,        0,     3079
     830,        0,    78249,     3041,   128955,        0,     3241
     850,        0,    78242,     3193,   128953,        0,     3403
     870,        0,    78234,     3345,   128951,        0,     3566
     890,        0,    78226,     3497,   128948,        0,     3728
     910,        0,    78218,     3649,   128947,        0,     3890
     930,        0,    78209,     3801,   128944,        0,     4052
     950,        0,    78200,     3953,   128941,        0,     4214
     970,        0,    78191,     4105,   128939,        0,     4377
     990,        0,    78181,     4257,   128936,        0,     4539
    1010,        0,    78171,     4409,   128934,        0,     4701
    1030,        0,    78161,     4561,   128932,        0,     4864
    1050,        0,    78151,     4713,   128930,       -1,     5027
    1070,        0,    78140,     4865,   128927,        0,     5189
    1090,        0,    78129,     5017,   128925,        0,     5351
    1110,        0,    78118,     5169,   128923,        0,     5513
    1130,        0,    78106,     5321,   128920,        0,     5676
    1150,        0,    78094,     5473,   128918,       -1,     5839
    1170,        0,    78082,     5625,   128916,        0,     6001
    1190,        0,    78070,     5777,   128914,        0,     6163
    1210,        0,    78057,     5929,   128911,        0,     6326
    1230,        0,    78044,     6081,   128910,        0,     6488
    1250,        0,    78031,     6233,   128908,        0,     6651
    1270,        0,    78017,     6385,   128905,        0,     6814
    1290,        0,    78003,     6537,   128903,        0,     6977
    1310,        0,    77989,     6689,   128901,       -1,     7140
    1330,        0,    77974,     6841,   128898,        0,     7302
    1350,        0,    77959,     6993,   128895,        0,     7465
    1370,        0,    77944,     7145,   128893,        0,     7628
    1390,        0,    77929,     7297,   128892,        0,     7791
    1410,        0,    77913,     7449,   128889,        0,     7954
    1430,        0,    77897,     7601,   128887,        0,     8117
    1450,        0,    77881,     7753,   128885,        0,     8280
    1470,        0,    77864,     7905,   128883,        0,     8443
    1490,        0,    77847,     8057,   128880,        0,     8606
    1510,        0,    77830,     8209,   128878,        0,     8769
    1530,        0,    77812,     8361,   128875,        0,     8932
