  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout,mag_in,mag_out,Ratio,Error
10,0,0,0,0,0,0,0,0,,
30,0,0,0,0,0,0,0,0,,
50,0,0,0,0,0,0,0,0,,
70,0,0,0,0,0,0,0,0,,
90,0,0,0,0,0,0,0,0,,
110,0,0,0,0,0,0,0,0,,
130,0,0,0,0,0,0,0,0,,
150,0,0,0,0,0,0,0,0,,
170,0,0,0,0,0,0,0,0,,
190,0,0,0,0,0,0,0,0,,
210,0,0,0,0,0,0,0,0,,
230,0,0,0,0,0,0,0,0,,
250,0,0,0,0,0,0,0,0,,
270,0,0,0,0,0,0,0,0,,
290,0,0,0,0,0,0,0,0,,
310,0,0,0,0,0,0,0,0,,
330,0,0,0,0,0,0,0,0,,
350,0,0,0,0,0,0,0,0,,
370,0,0,0,0,0,0,0,0,,
390,0,0,0,0,0,0,0,0,,
410,0,0,0,0,0,0,0,0,,
430,0,78336,0,129001,0,0,78336,129001,1.64676521650327,-0.00000521650327
450,0,78334,153,128998,0,163,78334.1494177348,128998,1.64676582255446,-0.00000582255446
470,0,78332,305,128995,0,325,78332.5937844522,128995,1.64676022799597,-0.00000022799597
490,0,78330,457,128993,0,487,78331.3331241081,128993,1.64676119830137,-0.00000119830137
510,0,78328,609,128992,0,649,78330.3674509446,128992,1.64676873347725,-0.00000873347725
530,0,78325,761,128989,1,810,78328.6968230673,128989.000003876,1.64676555637384,-0.00000555637384
550,0,78322,913,128986,0,973,78327.3212423354,128986,1.64675617593167,0.00000382406833
570,0,78319,1065,128985,0,1135,78326.2407242937,128985,1.64676612597844,-0.00000612597844
590,0,78315,1217,128982,0,1297,78324.455401873,128982,1.64676536004252,-0.00000536004252
610,0,78311,1369,128979,0,1458,78322.9652273201,128979,1.64675838849638,0.00000161150362
630,0,78307,1521,128977,0,1621,78321.7702174817,128977,1.64675797855258,0.00000202144742
650,0,78303,1673,128976,0,1783,78320.8703858684,128976,1.64676413023203,-0.00000413023203
670,0,78298,1825,128973,0,1945,78319.2660141807,128973,1.64675955947605,0.00000044052395
690,0,78293,1977,128971,0,2106,78317.9569319834,128971,1.64676154808286,-0.00000154808286
710,0,78288,2129,128970,0,2269,78316.9431540838,128970,1.64677009604754,-0.00001009604754
730,0,78282,2281,128967,0,2431,78315.2251161931,128967,1.64676791528923,-0.00000791528923
750,0,78276,2433,128964,0,2593,78313.8025190962,128964,1.64675952197,0.00000047803
770,0,78270,2585,128962,1,2755,78312.6753788938,128962.000003877,1.64675768488218,0.00000231511782
790,0,78263,2737,128959,0,2917,78310.8443192895,128959,1.64675788035444,0.00000211964556
810,0,78256,2889,128957,0,3079,78309.3088783192,128957,1.64676462922664,-0.00000462922664
830,0,78249,3041,128955,0,3241,78308.069073372,128955,1.64676516131656,-0.00000516131656
850,0,78242,3193,128953,0,3403,78307.12491849,128953,1.64675947602759,0.00000052397241
870,0,78234,3345,128951,0,3566,78305.4773371569,128951,1.64676858356639,-0.00000858356639
890,0,78226,3497,128948,0,3728,78304.1255937387,128948,1.64675869913949,0.00000130086051
910,0,78218,3649,128947,0,3890,78303.0697035563,128947,1.64676813422736,-0.00000813422736
930,0,78209,3801,128944,0,4052,78301.3108574818,128944,1.64676681128231,-0.00000681128231
950,0,78200,3953,128941,0,4214,78299.8480777581,128941,1.64675926154992,0.00000073845008
970,0,78191,4105,128939,0,4377,78298.6813809786,128939,1.64675825602503,0.00000174397497
990,0,78181,4257,128936,0,4539,78296.8122595039,128936,1.64675925212203,0.00000074787797
1010,0,78171,4409,128934,0,4701,78295.2394593694,128934,1.64676678799749,-0.00000678799749
1030,0,78161,4561,128932,0,4864,78293.962998433,128932,1.6467680912075,-0.0000080912075
1050,0,78151,4713,128930,-1,5027,78292.9828911889,128930.000003878,1.64676316117709,-0.00000316117709
1070,0,78140,4865,128927,0,5189,78291.3010812823,128927,1.6467602175387,-0.0000002175387
1090,0,78129,5017,128925,0,5351,78289.9158895959,128925,1.64676380776561,-0.00000380776561
1110,0,78118,5169,128923,0,5513,78288.8273318741,128923,1.64676115856842,-0.00000115856842
1130,0,78106,5321,128920,0,5676,78287.0377329479,128920,1.64676048210907,-0.00000048210907
1150,0,78094,5473,128918,-1,5839,78285.5450578202,128918.000003878,1.64676633353784,-0.00000633353784
1170,0,78082,5625,128916,0,6001,78284.3493234759,128916,1.64676593871031,-0.00000593871031
1190,0,78070,5777,128914,0,6163,78283.4505435217,128914,1.64675929720714,0.00000070279286
1210,0,78057,5929,128911,0,6326,78281.8516004827,128911,1.64675460996895,0.00000539003105
1230,0,78044,6081,128910,0,6488,78280.5499278077,128910,1.64676921813764,-0.00000921813764
1250,0,78031,6233,128908,0,6651,78279.5455403262,128908,1.64676479800962,-0.00000479800962
1270,0,78017,6385,128905,0,6814,78277.8417816945,128905,1.64676231569462,-0.00000231569462
1290,0,78003,6537,128903,0,6977,78276.4356495619,128903,1.64676634711741,-0.00000634711741
1310,0,77989,6689,128901,-1,7140,78275.3271599678,128901.000003879,1.64676411687746,-0.00000411687746
1330,0,77974,6841,128898,0,7302,78273.5201520923,128898,1.64676380657903,-0.00000380657903
1350,0,77959,6993,128895,0,7465,78272.0111534129,128895,1.64675722650548,0.00000277349452
1370,0,77944,7145,128893,0,7628,78270.8001811659,128893,1.64675715211374,0.00000284788626
1390,0,77929,7297,128892,0,7791,78269.8872491841,128892,1.64676358341558,-0.00000358341558
1410,0,77913,7449,128889,0,7954,78268.2769070586,128889,1.64675913528864,0.00000086471136
1430,0,77897,7601,128887,0,8117,78266.9649980118,128887,1.64676118466168,-0.00000118466168
1450,0,77881,7753,128885,0,8280,78265.9515370509,128885,1.64675695457413,0.00000304542587
1470,0,77864,7905,128883,0,8443,78264.2416496832,128883,1.64676737783891,-0.00000737783891
1490,0,77847,8057,128880,0,8606,78262.8306285941,128880,1.64675873546685,0.00000126453315
1510,0,77830,8209,128878,0,8769,78261.7184899488,128878,1.64675658146392,0.00000341853608
1530,0,77812,8361,128875,0,8932,78259.9109697935,128875,1.64675628176657,0.00000371823343
1550,0,77794,8512,128873,0,9094,78258.2940013389,128873,1.64676475055532,-0.00000475055532
1570,0,77776,8663,128871,0,9256,78256.9725008577,128871,1.64676700211713,-0.00000700211713
1590,0,77758,8814,128869,-1,9418,78255.9464833184,128869.00000388,1.64676303584611,-0.00000303584611
1610,0,77739,8965,128866,0,9580,78254.222544218,128866,1.64676097736686,-0.00000097736686
1630,0,77720,9116,128864,0,9742,78252.7945571275,128864,1.64676546990184,-0.00000546990184
1650,0,77701,9267,128862,0,9905,78251.662538249,128862,1.64676373408697,-0.00000373408697
1670,0,77681,9418,128859,-1,10068,78249.8337697915,128859.00000388,1.64676388173525,-0.00000388173525
1690,0,77661,9569,128856,0,10230,78248.3014639935,128856,1.64675779012652,0.00000220987348
1710,0,77641,9720,128854,0,10392,78247.0656382717,128854,1.64675823877766,0.00000176122234
1730,0,77621,9871,128853,0,10555,78246.1263066741,128853,1.6467652276482,-0.0000052276482
1750,0,77600,10022,128850,0,10717,78244.4917166697,128850,1.64676128853361,-0.00000128853361
1770,0,77579,10173,128848,0,10880,78243.1541414327,128848,1.64676387875537,-0.00000387875537
1790,0,77558,10324,128846,0,11042,78242.1135961957,128846,1.64676021745743,-0.00000021745743
1810,0,77536,10475,128843,0,11205,78240.3790954517,128843,1.64675838089708,0.00000161910292
1830,0,77514,10626,128841,0,11368,78238.942170763,128841,1.64676306229695,-0.00000306229695
1850,0,77492,10777,128839,0,11531,78237.8028385256,128839,1.64676148007262,-0.00000148007262
1870,0,77469,10928,128836,0,11693,78235.9709149187,128836,1.64676169405642,-0.00000169405642
1890,0,77446,11079,128834,0,11856,78234.4371552579,128834,1.64676841407226,-0.00000841407226
1910,0,77423,11230,128832,0,12019,78233.2015770798,128832,1.64676885776006,-0.00000885776006
1930,0,77400,11381,128830,0,12182,78232.2641945125,128830,1.64676302451996,-0.00000302451996
1950,0,77376,11532,128827,0,12345,78230.6359427047,128827,1.64675895124196,0.00000104875804
1970,0,77352,11683,128825,0,12508,78229.3064842071,128825,1.64676137102158,-0.00000137102158
1990,0,77328,11834,128823,0,12671,78228.2758342532,128823,1.64675750073982,0.00000249926018
2010,0,77303,11985,128820,0,12835,78226.5558106708,128820,1.64675535903407,0.00000464096593
2030,0,77278,12135,128818,0,12997,78224.9800830911,128818,1.64676296322695,-0.00000296322695
2050,0,77253,12285,128816,0,13160,78223.6999508461,128816,1.64676434483341,-0.00000434483341
2070,0,77228,12435,128814,0,13321,78222.7154284483,128814,1.64675950322676,0.00000049677324
2090,0,77202,12585,128811,0,13484,78221.0395545853,128811,1.6467564319458,0.0000035680542
2110,0,77176,12735,128809,1,13646,78219.6599391739,128809.000003882,1.64675990798283,0.00000009201717
