  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
      10,        0,        0,        0,        0,        0,        0
      30,        0,        0,        0,        0,        0,  4194302
      50,        0,        0,        0,        0,        0,  4194302
      70,        0,        0,        0,        0,        0,  4194302
      90,        0,        0,        0,        0,        0,  4194301
     110,        0,        0,        0,        0,        0,  4194302
     130,        0,        0,        0,        0,        0,  4194301
     150,        0,        0,        0,        0,        0,  4194301
     170,        0,        0,        0,        0,        0,  4194301
     190,        0,        0,        0,        0,        0,  4194301
     210,        0,        0,        0,        0,        0,  4194301
     230,        0,        0,        0,        0,        0,  4194302
     250,        0,        0,        0,        0,        0,  4194302
     270,        0,        0,        0,        0,        0,  4194302
     290,        0,        0,        0,        0,        0,  4194302
     310,        0,        0,        0,        0,        0,  4194302
     330,        0,        0,        0,        0,        0,  4194303
     350,        0,        0,        0,        0,        0,        0
     370,        0,        0,        0,        0,        0,        2
     390,        0,        0,        0,        0,        0,        0
     410,        0,        0,        0,        0,        0,        0
     430,        0,   434176,        0,   714985,        2,        0
     450,       53,   434176,        0,   714984,       58,        2
     470,      106,   434176,        0,   714984,      116,  4194303
     490,      159,   434176,        0,   714983,      172,        1
     510,      212,   434176,        0,   714983,      233,  4194302
     530,      265,   434176,        0,   714983,      286,        0
     550,      318,   434176,        0,   714983,      341,        2
     570,      371,   434176,        0,   714983,      399,  4194303
     590,      424,   434176,        0,   714983,      455,        1
     610,      477,   434176,        0,   714983,      516,  4194302
     630,      530,   434176,        0,   714983,      569,        0
     650,      583,   434176,        0,   714983,      625,        2
     670,      636,   434176,        0,   714983,      684,  4194303
     690,      689,   434176,        0,   714983,      738,        1
     710,      742,   434176,        0,   714983,      799,  4194302
     730,      795,   434176,        0,   714983,      854,        0
     750,      848,   434176,        0,   714983,      908,        2
     770,      901,   434176,        0,   714983,      967,        0
     790,      954,   434176,        0,   714983,     1023,        1
     810,     1007,   434176,        0,   714983,     1082,  4194302
     830,     1060,   434176,        0,   714983,     1136,        1
     850,     1113,   434176,        0,   714983,     1193,        2
     870,     1166,   434176,        0,   714983,     1251,  4194303
     890,     1219,   434176,        0,   714983,     1306,        2
     910,     1272,   434176,        0,   714983,     1367,  4194302
     930,     1325,   434176,        0,   714983,     1420,        0
     950,     1378,   434176,        0,   714983,     1480,  4194302
     970,     1431,   434176,        0,   714983,     1533,        0
     990,     1484,   434176,        0,   714982,     1590,        1
    1010,     1537,   434176,        0,   714982,     1650,  4194303
    1030,     1590,   434176,        0,   714982,     1703,        1
    1050,     1643,   434176,        0,   714982,     1759,        2
    1070,     1696,   434176,        0,   714982,     1818,        0
    1090,     1749,   434176,        0,   714982,     1872,        2
    1110,     1802,   434176,        0,   714982,     1934,  4194302
    1130,     1855,   434176,        0,   714982,     1988,        1
    1150,     1908,   434176,        0,   714982,     2047,  4194302
    1170,     1961,   434176,        0,   714982,     2101,        0
    1190,     2014,   434176,        0,   714982,     2157,        2
    1210,     2067,   434176,        0,   714982,     2216,  4194303
    1230,     2120,   434176,        0,   714980,     2271,        1
    1250,     2173,   434176,        0,   714980,     2332,  4194302
    1270,     2226,   434176,        0,   714980,     2385,        0
    1290,     2279,   434176,        0,   714980,     2440,        2
    1310,     2332,   434176,        0,   714980,     2501,  4194303
    1330,     2385,   434176,        0,   714980,     2554,        1
    1350,     2438,   434176,        0,   714979,     2615,  4194302
    1370,     2491,   434176,        0,   714979,     2668,        0
    1390,     2544,   434176,        0,   714979,     2724,        2
    1410,     2597,   434176,        0,   714979,     2784,  4194303
    1430,     2650,   434176,        0,   714979,     2837,        1
    1450,     2703,   434176,        0,   714979,     2898,  4194302
    1470,     2756,   434176,        0,   714978,     2953,        0
    1490,     2809,   434176,        0,   714978,     3007,        2
    1510,     2862,   434176,        0,   714978,     3068,  4194303
    1530,     2915,   434176,        0,   714978,     3122,        1
    1550,     2968,   434176,        0,   714978,     3181,  4194302
    1570,     3021,   434176,        0,   714978,     3235,        1
    1590,     3074,   434176,        0,   714977,     3292,        2
    1610,     3127,   434176,        0,   714977,     3351,  4194303
    1630,     3180,   434176,        0,   714977,     3405,        2
    1650,     3233,   434176,        0,   714977,     3466,  4194302
    1670,     3286,   434176,        0,   714977,     3519,        0
    1690,     3339,   434176,        0,   714977,     3579,  4194302
    1710,     3392,   434176,        0,   714974,     3636,  4194303
    1730,     3445,   434176,        0,   714974,     3689,        1
    1750,     3498,   434176,        0,   714974,     3749,  4194303
    1770,     3551,   434176,        0,   714974,     3802,        1
    1790,     3604,   434176,        0,   714974,     3858,        2
    1810,     3657,   434176,        0,   714974,     3918,        0
    1830,     3710,   434176,        0,   714974,     3971,        2
    1850,     3763,   434176,        0,   714973,     4033,  4194302
    1870,     3816,   434176,        0,   714973,     4087,        1
    1890,     3869,   434176,        0,   714973,     4146,  4194302
    1910,     3922,   434176,        0,   714972,     4202,  4194303
    1930,     3975,   434176,        0,   714972,     4256,        2
    1950,     4028,   434176,        0,   714972,     4315,  4194303
    1970,     4081,   434176,        0,   714971,     4370,        1
    1990,     4134,   434176,        0,   714971,     4431,  4194302
    2010,     4187,   434176,        0,   714971,     4485,        0
    2030,     4240,   434176,        0,   714970,     4539,        2
    2050,     4293,   434176,        0,   714970,     4600,  4194303
    2070,     4346,   434176,        0,   714970,     4653,        1
    2090,     4399,   434176,        0,   714969,     4714,  4194302
    2110,     4452,   434176,        0,   714969,     4770,        0
    2130,     4505,   434176,        0,   714969,     4823,        2
    2150,     4558,   434176,        0,   714968,     4883,  4194303
    2170,     4611,   434176,        0,   714968,     4936,        1
    2190,     4664,   434176,        0,   714968,     4997,  4194302
    2210,     4717,   434176,        0,   714965,     5054,        1
