  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
      10,        0,        0,        0,        0,        0,        0
      30,        0,        0,        0,        0,        0,   130991
      50,        0,        0,        0,        0,        0,   130991
      70,        0,        0,        0,        0,        0,   130991
      90,        0,        0,        0,        0,        0,   130991
     110,        0,        0,        0,        0,        0,   130992
     130,        0,        0,        0,        0,        0,   131002
     150,        0,        0,        0,        0,        0,        8
     170,        0,        0,        0,        0,        0,       68
     190,        0,        0,        0,        0,        0,   131007
     210,        0,        0,        0,        0,        0,   131007
     230,        0,    13568,        0,    22343,       70,   131007
     250,       53,    13568,        0,    22343,       70,   131060
     270,      106,    13568,        0,    22343,       70,       41
     290,      159,    13568,        0,    22342,      244,   131003
     310,      212,    13568,        0,    22342,      244,   131056
     330,      265,    13568,        0,    22342,      244,       37
     350,      318,    13568,        0,    22339,      419,   130999
     370,      371,    13568,        0,    22339,      419,   131052
     390,      424,    13568,        0,    22339,      419,       33
     410,      477,    13568,        0,    22335,      593,   130995
     430,      530,    13568,        0,    22335,      593,   131048
     450,      583,    13568,        0,    22335,      593,       29
     470,      636,    13568,        0,    22330,      768,   130991
     490,      689,    13568,        0,    22330,      768,   131044
     510,      742,    13568,        0,    22330,      768,       25
     530,      795,    13568,        0,    22330,      768,       78
     550,      848,    13568,        0,    22323,      942,   131040
     570,      901,    13568,        0,    22323,      942,       21
     590,      954,    13568,        0,    22323,      942,       74
     610,     1007,    13568,        0,    22315,     1116,   131036
     630,     1060,    13568,        0,    22315,     1116,       17
     650,     1113,    13568,        0,    22315,     1116,       70
     670,     1166,    13568,        0,    22306,     1291,   131032
     690,     1219,    13568,        0,    22306,     1291,       13
     710,     1272,    13568,        0,    22306,     1291,       66
     730,     1325,    13568,        0,    22295,     1465,   131028
     750,     1378,    13568,        0,    22295,     1465,        9
     770,     1431,    13568,        0,    22295,     1465,       62
     790,     1484,    13568,        0,    22283,     1639,   131024
     810,     1537,    13568,        0,    22283,     1639,        5
     830,     1590,    13568,        0,    22283,     1639,       58
     850,     1643,    13568,        0,    22271,     1788,   131044
     870,     1696,    13568,        0,    22271,     1788,       25
     890,     1749,    13568,        0,    22271,     1788,       78
     910,     1802,    13568,        0,    22257,     1962,   131040
     930,     1855,    13568,        0,    22257,     1962,       21
     950,     1908,    13568,        0,    22257,     1962,       74
     970,     1961,    13568,        0,    22241,     2136,   131036
