  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
      10,        0,        0,        0,        0,        0,        0
      30,        0,        0,        0,        0,        0,        0
      50,        0,        0,        0,        0,        0,        0
      70,        0,        0,        0,        0,        0,        0
      90,        0,        0,        0,        0,        0,        0
     110,        0,        0,        0,        0,        0,        0
     130,        0,        0,        0,        0,        0,        0
     150,        0,        0,        0,        0,        0,        0
     170,        0,        0,        0,        0,        0,        0
     190,        0,        0,        0,        0,        0,        0
     210,        0,        0,        0,        0,        0,        0
     230,        0,        0,        0,        0,        0,        0
     250,        0,        0,        0,        0,        0,        0
     270,        0,        0,        0,        0,        0,        0
     290,        0,        0,        0,        0,        0,        0
     310,        0,        0,        0,        0,        0,        0
     330,        0,        0,        0,        0,        0,        0
     350,        0,        0,        0,        0,        0,        0
     370,        0,        0,        0,        0,        0,        0
     390,        0,        0,        0,        0,        0,        0
     410,        0,        0,        0,        0,        0,        0
     430,        0,    19584,        0,    32250,        0,        0
     450,        0,    19584,       38,    32250,        0,       40
     470,        0,    19584,       76,    32250,        0,       81
     490,        0,    19584,      114,    32251,        0,      121
     510,        0,    19584,      152,    32251,        0,      162
     530,        0,    19584,      190,    32252,        0,      202
     550,        0,    19584,      228,    32252,        0,      243
     570,        0,    19584,      266,    32253,        0,      283
     590,        0,    19584,      304,    32254,        0,      324
     610,        0,    19584,      342,    32255,        0,      364
     630,        0,    19584,      380,    32256,        0,      405
     650,        0,    19584,      418,    32258,        0,      445
     670,        0,    19584,      456,    32259,        0,      486
     690,        0,    19584,      494,    32260,        0,      526
     710,        0,    19584,      532,    32262,        0,      567
     730,        0,    19583,      570,    32262,        0,      607
     750,        0,    19582,      608,    32262,        0,      647
     770,        0,    19581,      646,    32263,        0,      688
     790,        0,    19580,      684,    32263,        0,      728
     810,        0,    19579,      722,    32264,        0,      769
     830,        0,    19578,      760,    32265,        0,      809
     850,        0,    19577,      798,    32265,        0,      850
     870,        0,    19576,      836,    32266,        0,      890
     890,        0,    19575,      874,    32267,        0,      931
     910,        0,    19574,      912,    32269,        0,      971
     930,        0,    19573,      950,    32270,        0,     1012
     950,        0,    19572,      988,    32271,        0,     1052
     970,        0,    19571,     1026,    32273,        0,     1093
     990,        0,    19569,     1064,    32273,        0,     1133
    1010,        0,    19567,     1102,    32273,        0,     1174
    1030,        0,    19565,     1140,    32274,        0,     1214
    1050,        0,    19563,     1178,    32274,        0,     1255
    1070,        0,    19561,     1216,    32275,        0,     1295
    1090,        0,    19559,     1254,    32275,        0,     1336
    1110,        0,    19557,     1292,    32276,        0,     1376
    1130,        0,    19555,     1330,    32277,        0,     1417
    1150,        0,    19553,     1368,    32278,        0,     1457
    1170,        0,    19551,     1406,    32279,        0,     1498
    1190,        0,    19549,     1444,    32280,        0,     1538
    1210,        0,    19547,     1482,    32282,        0,     1579
    1230,        0,    19545,     1520,    32283,        0,     1619
    1250,        0,    19543,     1558,    32285,        0,     1659
    1270,        0,    19540,     1596,    32285,        0,     1700
    1290,        0,    19537,     1634,    32285,        0,     1741
    1310,        0,    19534,     1672,    32286,        0,     1781
    1330,        0,    19531,     1710,    32286,        0,     1822
    1350,        0,    19528,     1748,    32287,        0,     1862
    1370,        0,    19525,     1786,    32287,        0,     1903
    1390,        0,    19522,     1824,    32288,        0,     1943
    1410,        0,    19519,     1862,    32289,        0,     1984
    1430,        0,    19516,     1900,    32290,        0,     2025
    1450,        0,    19513,     1938,    32291,        0,     2065
    1470,        0,    19510,     1976,    32293,        0,     2106
    1490,        0,    19507,     2014,    32294,        0,     2146
    1510,        0,    19504,     2052,    32296,        0,     2187
    1530,        0,    19500,     2090,    32296,        0,     2227
    1550,        0,    19496,     2128,    32296,        0,     2268
