  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
      10,        0,        0,        0,        0,        0,        0
      30,        0,        0,        0,        0,        0,   130991
      50,        0,        0,        0,        0,        0,   130991
      70,        0,        0,        0,        0,        0,   130991
      90,        0,        0,        0,        0,        0,   130991
     110,        0,        0,        0,        0,        0,   130992
     130,        0,        0,        0,        0,        0,   131002
     150,        0,        0,        0,        0,        0,        8
     170,        0,        0,        0,        0,        0,       68
     190,        0,        0,        0,        0,        0,   131007
     210,        0,        0,        0,        0,        0,   131007
     230,        0,    19584,        0,    32250,     -101,       65
     250,        0,    19584,       38,    32250,      -38,       65
     270,        0,    19584,       76,    32250,       24,       65
     290,        0,    19584,      114,    32251,       87,       65
     310,        0,    19584,      152,    32251,     -102,      228
     330,        0,    19584,      190,    32252,      -40,      228
     350,        0,    19584,      228,    32252,       23,      228
     370,        0,    19584,      266,    32253,       85,      228
     390,        0,    19584,      304,    32254,     -104,      391
     410,        0,    19584,      342,    32255,      -41,      391
     430,        0,    19584,      380,    32256,       22,      391
     450,        0,    19584,      418,    32257,       84,      391
     470,        0,    19584,      456,    32259,     -105,      554
     490,        0,    19584,      494,    32260,      -43,      554
     510,        0,    19584,      532,    32262,       20,      554
     530,        0,    19583,      570,    32262,       82,      554
     550,        0,    19582,      608,    32262,     -107,      717
     570,        0,    19581,      646,    32263,      -44,      717
     590,        0,    19580,      684,    32263,       18,      717
     610,        0,    19579,      722,    32264,       81,      717
     630,        0,    19578,      760,    32264,     -109,      880
     650,        0,    19577,      798,    32265,      -46,      880
     670,        0,    19576,      836,    32266,       16,      880
     690,        0,    19575,      874,    32267,       79,      880
     710,        0,    19574,      912,    32268,     -110,     1043
     730,        0,    19573,      950,    32270,      -48,     1043
     750,        0,    19572,      988,    32271,       15,     1043
     770,        0,    19571,     1026,    32273,       77,     1043
     790,        0,    19569,     1064,    32273,     -112,     1206
     810,        0,    19567,     1102,    32273,      -49,     1206
     830,        0,    19565,     1140,    32273,       13,     1206
     850,        0,    19563,     1178,    32274,       76,     1206
     870,        0,    19561,     1216,    32274,     -114,     1369
     890,        0,    19559,     1254,    32275,      -51,     1369
     910,        0,    19557,     1292,    32276,       12,     1369
     930,        0,    19555,     1330,    32277,       74,     1369
     950,        0,    19553,     1368,    32277,     -115,     1532
     970,        0,    19551,     1406,    32279,      -52,     1532
