Time [ns],phase_acc
                  16,     0
                  24, 91180
                  32,182361
                  40,273541
                  48,364722
                  56,455902
                  64, 22795
                  72,113975
                  80,205156
                  88,296336
                  96,387517
                 104,478697
                 112, 45590
                 120,136770
                 128,227951
                 136,319131
                 144,410312
                 152,501492
                 160, 68385
                 168,159565
                 176,250746
                 184,341926
                 192,433107
                 200,524287
                 208, 91180
                 216,182361
                 224,273541
                 232,364722
                 240,455902
                 248, 22795
                 256,113975
                 264,205156
                 272,296336
                 280,387517
                 288,478697
                 296, 45590
                 304,136770
                 312,227951
                 320,319131
                 328,410312
                 336,501492
                 344, 68385
                 352,159565
                 360,250746
                 368,341926
                 376,433107
                 384,524287
                 392, 91180
                 400,182361
                 408,273541
                 416,364722
                 424,455902
                 432, 22795
                 440,113975
                 448,205156
                 456,296336
                 464,387517
                 472,478697
                 480, 45590
                 488,136770
                 496,227951
                 504,319131
                 512,410312
                 520,501492
                 528, 68385
                 536,159565
                 544,250746
                 552,341926
                 560,433107
                 568,524287
                 576, 91180
                 584,182361
                 592,273541
                 600,364722
                 608,455902
                 616, 22795
                 624,113975
                 632,205156
                 640,296336
                 648,387517
                 656,478697
                 664, 45590
                 672,136770
                 680,227951
                 688,319131
                 696,410312
                 704,501492
                 712, 68385
                 720,159565
                 728,250746
                 736,341926
                 744,433107
                 752,524287
                 760, 91180
                 768,182361
                 776,273541
                 784,364722
                 792,455902
                 800, 22795
                 808,113975
                 816,205156
                 824,296336
                 832,387517
                 840,478697
                 848, 45590
                 856,136770
                 864,227951
                 872,319131
                 880,410312
                 888,501492
                 896, 68385
                 904,159565
                 912,250746
                 920,341926
                 928,433107
                 936,524287
                 944, 91180
                 952,182361
                 960,273541
                 968,364722
                 976,455902
                 984, 22795
                 992,113975
                1000,205156
                1008,296336
                1016,387517
                1024,478697
                1032, 45590
                1040,136770
                1048,227951
                1056,319131
                1064,410312
                1072,501492
                1080, 68385
                1088,159565
                1096,250746
                1104,341926
                1112,433107
                1120,524287
                1128, 91180
                1136,182361
                1144,273541
                1152,364722
                1160,455902
                1168, 22795
                1176,113975
                1184,205156
                1192,296336
                1200,387517
                1208,478697
                1216, 45590
                1224,136770
                1232,227951
                1240,319131
                1248,410312
                1256,501492
                1264, 68385
                1272,159565
                1280,250746
                1288,341926
                1296,433107
                1304,524287
                1312, 91180
                1320,182361
                1328,273541
                1336,364722
                1344,455902
                1352, 22795
                1360,113975
                1368,205156
                1376,296336
                1384,387517
                1392,478697
                1400, 45590
                1408,136770
                1416,227951
                1424,319131
                1432,410312
                1440,501492
                1448, 68385
                1456,159565
                1464,250746
                1472,341926
                1480,433107
                1488,524287
                1496, 91180
                1504,182361
                1512,273541
                1520,364722
                1528,455902
                1536, 22795
                1544,113975
                1552,205156
                1560,296336
                1568,387517
                1576,478697
                1584, 45590
                1592,136770
                1600,227951
                1608,319131
                1616,410312
                1624,501492
                1632, 68385
                1640,159565
                1648,250746
                1656,341926
                1664,433107
                1672,524287
                1680, 91180
                1688,182361
                1696,273541
                1704,364722
                1712,455902
                1720, 22795
                1728,113975
                1736,205156
                1744,296336
                1752,387517
                1760,478697
                1768, 45590
                1776,136770
                1784,227951
                1792,319131
                1800,410312
                1808,501492
                1816, 68385
                1824,159565
                1832,250746
                1840,341926
                1848,433107
                1856,524287
                1864, 91180
                1872,182361
                1880,273541
                1888,364722
                1896,455902
                1904, 22795
                1912,113975
                1920,205156
                1928,296336
                1936,387517
                1944,478697
                1952, 45590
                1960,136770
                1968,227951
                1976,319131
                1984,410312
                1992,501492
                2000, 68385
                2008,159565
                2016,250746
                2024,341926
                2032,433107
                2040,524287
                2048, 91180
                2056,182361
                2064,273541
                2072,364722
                2080,455902
                2088, 22795
                2096,113975
                2104,205156
                2112,296336
                2120,387517
                2128,478697
                2136, 45590
                2144,136770
                2152,227951
                2160,319131
                2168,410312
                2176,501492
                2184, 68385
                2192,159565
                2200,250746
                2208,341926
                2216,433107
                2224,524287
                2232, 91180
                2240,182361
                2248,273541
                2256,364722
                2264,455902
                2272, 22795
                2280,113975
                2288,205156
                2296,296336
                2304,387517
                2312,478697
                2320, 45590
                2328,136770
                2336,227951
                2344,319131
                2352,410312
                2360,501492
                2368, 68385
                2376,159565
                2384,250746
                2392,341926
                2400,433107
                2408,524287
                2416, 91180
                2424,182361
                2432,273541
                2440,364722
                2448,455902
                2456, 22795
                2464,113975
                2472,205156
                2480,296336
                2488,387517
                2496,478697
                2504, 45590
                2512,136770
                2520,227951
                2528,319131
                2536,410312
                2544,501492
                2552, 68385
                2560,159565
                2568,250746
                2576,341926
                2584,433107
                2592,524287
                2600, 91180
                2608,182361
                2616,273541
                2624,364722
                2632,455902
                2640, 22795
                2648,113975
                2656,205156
                2664,296336
                2672,387517
                2680,478697
                2688, 45590
                2696,136770
                2704,227951
                2712,319131
                2720,410312
                2728,501492
                2736, 68385
                2744,159565
                2752,250746
                2760,341926
                2768,433107
                2776,524287
                2784, 91180
                2792,182361
                2800,273541
                2808,364722
                2816,455902
                2824, 22795
                2832,113975
                2840,205156
                2848,296336
                2856,387517
                2864,478697
                2872, 45590
                2880,136770
                2888,227951
                2896,319131
                2904,410312
                2912,501492
                2920, 68385
                2928,159565
                2936,250746
                2944,341926
                2952,433107
                2960,524287
                2968, 91180
                2976,182361
                2984,273541
                2992,364722
                3000,455902
                3008, 22795
                3016,113975
                3024,205156
                3032,296336
                3040,387517
                3048,478697
                3056, 45590
                3064,136770
                3072,227951
                3080,319131
                3088,410312
                3096,501492
                3104, 68385
                3112,159565
                3120,250746
                3128,341926
                3136,433107
                3144,524287
                3152, 91180
                3160,182361
                3168,273541
                3176,364722
                3184,455902
                3192, 22795
                3200,113975
                3208,205156
                3216,296336
                3224,387517
                3232,478697
                3240, 45590
                3248,136770
                3256,227951
                3264,319131
                3272,410312
                3280,501492
                3288, 68385
                3296,159565
                3304,250746
                3312,341926
                3320,433107
                3328,524287
                3336, 91180
                3344,182361
                3352,273541
                3360,364722
                3368,455902
                3376, 22795
                3384,113975
                3392,205156
                3400,296336
                3408,387517
                3416,478697
                3424, 45590
                3432,136770
                3440,227951
                3448,319131
                3456,410312
                3464,501492
                3472, 68385
                3480,159565
                3488,250746
                3496,341926
                3504,433107
                3512,524287
                3520, 91180
                3528,182361
                3536,273541
                3544,364722
                3552,455902
                3560, 22795
                3568,113975
                3576,205156
                3584,296336
                3592,387517
                3600,478697
                3608, 45590
                3616,136770
                3624,227951
                3632,319131
                3640,410312
                3648,501492
                3656, 68385
                3664,159565
                3672,250746
                3680,341926
                3688,433107
                3696,524287
                3704, 91180
                3712,182361
                3720,273541
                3728,364722
                3736,455902
                3744, 22795
                3752,113975
                3760,205156
                3768,296336
                3776,387517
                3784,478697
                3792, 45590
                3800,136770
                3808,227951
                3816,319131
                3824,410312
                3832,501492
                3840, 68385
                3848,159565
                3856,250746
                3864,341926
                3872,433107
                3880,524287
                3888, 91180
                3896,182361
                3904,273541
                3912,364722
                3920,455902
                3928, 22795
                3936,113975
                3944,205156
                3952,296336
                3960,387517
                3968,478697
                3976, 45590
                3984,136770
                3992,227951
                4000,319131
                4008,410312
                4016,501492
                4024, 68385
                4032,159565
                4040,250746
                4048,341926
                4056,433107
                4064,524287
                4072, 91180
                4080,182361
                4088,273541
                4096,364722
                4104,455902
                4112, 22795
                4120,113975
                4128,205156
                4136,296336
                4144,387517
                4152,478697
                4160, 45590
                4168,136770
                4176,227951
                4184,319131
                4192,410312
                4200,501492
                4208, 68385
                4216,159565
                4224,250746
                4232,341926
                4240,433107
                4248,524287
                4256, 91180
                4264,182361
                4272,273541
                4280,364722
                4288,455902
                4296, 22795
                4304,113975
                4312,205156
                4320,296336
                4328,387517
                4336,478697
                4344, 45590
                4352,136770
                4360,227951
                4368,319131
                4376,410312
                4384,501492
                4392, 68385
                4400,159565
                4408,250746
                4416,341926
                4424,433107
                4432,524287
                4440, 91180
                4448,182361
                4456,273541
                4464,364722
                4472,455902
                4480, 22795
                4488,113975
                4496,205156
                4504,296336
                4512,387517
                4520,478697
                4528, 45590
                4536,136770
                4544,227951
                4552,319131
                4560,410312
                4568,501492
                4576, 68385
                4584,159565
                4592,250746
                4600,341926
                4608,433107
                4616,524287
                4624, 91180
                4632,182361
                4640,273541
                4648,364722
                4656,455902
                4664, 22795
                4672,113975
                4680,205156
                4688,296336
                4696,387517
                4704,478697
                4712, 45590
                4720,136770
                4728,227951
                4736,319131
                4744,410312
                4752,501492
                4760, 68385
                4768,159565
                4776,250746
                4784,341926
                4792,433107
                4800,524287
                4808, 91180
                4816,182361
                4824,273541
                4832,364722
                4840,455902
                4848, 22795
                4856,113975
                4864,205156
                4872,296336
                4880,387517
                4888,478697
                4896, 45590
                4904,136770
                4912,227951
                4920,319131
                4928,410312
                4936,501492
                4944, 68385
                4952,159565
                4960,250746
                4968,341926
                4976,433107
                4984,524287
                4992, 91180
                5000,182361
                5008,273541
                5016,364722
                5024,455902
                5032, 22795
                5040,113975
                5048,205156
                5056,296336
                5064,387517
                5072,478697
                5080, 45590
                5088,136770
                5096,227951
                5104,319131
                5112,410312
                5120,501492
                5128, 68385
                5136,159565
                5144,250746
                5152,341926
                5160,433107
                5168,524287
                5176, 91180
                5184,182361
                5192,273541
                5200,364722
                5208,455902
                5216, 22795
                5224,113975
                5232,205156
                5240,296336
                5248,387517
                5256,478697
                5264, 45590
                5272,136770
                5280,227951
                5288,319131
                5296,410312
                5304,501492
                5312, 68385
                5320,159565
                5328,250746
                5336,341926
                5344,433107
                5352,524287
                5360, 91180
                5368,182361
                5376,273541
                5384,364722
                5392,455902
                5400, 22795
                5408,113975
                5416,205156
                5424,296336
                5432,387517
                5440,478697
                5448, 45590
                5456,136770
                5464,227951
                5472,319131
                5480,410312
                5488,501492
                5496, 68385
                5504,159565
                5512,250746
                5520,341926
                5528,433107
                5536,524287
                5544, 91180
                5552,182361
                5560,273541
                5568,364722
                5576,455902
                5584, 22795
                5592,113975
                5600,205156
                5608,296336
                5616,387517
                5624,478697
                5632, 45590
                5640,136770
                5648,227951
                5656,319131
                5664,410312
                5672,501492
                5680, 68385
                5688,159565
                5696,250746
                5704,341926
                5712,433107
                5720,524287
                5728, 91180
                5736,182361
                5744,273541
                5752,364722
                5760,455902
                5768, 22795
                5776,113975
                5784,205156
                5792,296336
                5800,387517
                5808,478697
                5816, 45590
                5824,136770
                5832,227951
                5840,319131
                5848,410312
                5856,501492
                5864, 68385
                5872,159565
                5880,250746
                5888,341926
                5896,433107
                5904,524287
                5912, 91180
                5920,182361
                5928,273541
                5936,364722
                5944,455902
                5952, 22795
                5960,113975
                5968,205156
                5976,296336
                5984,387517
                5992,478697
                6000, 45590
                6008,136770
                6016,227951
                6024,319131
                6032,410312
                6040,501492
                6048, 68385
                6056,159565
                6064,250746
                6072,341926
                6080,433107
                6088,524287
                6096, 91180
                6104,182361
                6112,273541
                6120,364722
                6128,455902
                6136, 22795
                6144,113975
                6152,205156
                6160,296336
                6168,387517
                6176,478697
                6184, 45590
                6192,136770
                6200,227951
                6208,319131
                6216,410312
                6224,501492
                6232, 68385
                6240,159565
                6248,250746
                6256,341926
                6264,433107
                6272,524287
                6280, 91180
                6288,182361
                6296,273541
                6304,364722
                6312,455902
                6320, 22795
                6328,113975
                6336,205156
                6344,296336
                6352,387517
                6360,478697
                6368, 45590
                6376,136770
                6384,227951
                6392,319131
                6400,410312
                6408,501492
                6416, 68385
                6424,159565
                6432,250746
                6440,341926
                6448,433107
                6456,524287
                6464, 91180
                6472,182361
                6480,273541
                6488,364722
                6496,455902
                6504, 22795
                6512,113975
                6520,205156
                6528,296336
                6536,387517
                6544,478697
                6552, 45590
                6560,136770
                6568,227951
                6576,319131
                6584,410312
                6592,501492
                6600, 68385
                6608,159565
                6616,250746
                6624,341926
                6632,433107
                6640,524287
                6648, 91180
                6656,182361
                6664,273541
                6672,364722
                6680,455902
                6688, 22795
                6696,113975
                6704,205156
                6712,296336
                6720,387517
                6728,478697
                6736, 45590
                6744,136770
                6752,227951
                6760,319131
                6768,410312
                6776,501492
                6784, 68385
                6792,159565
                6800,250746
                6808,341926
                6816,433107
                6824,524287
                6832, 91180
                6840,182361
                6848,273541
                6856,364722
                6864,455902
                6872, 22795
                6880,113975
                6888,205156
                6896,296336
                6904,387517
                6912,478697
                6920, 45590
