Time [ns],phase_acc
                  16,     0
                  24,190650
                  32,381300
                  40, 47662
                  48,238312
                  56,428962
                  64, 95325
                  72,285975
                  80,476625
                  88,142987
                  96,333637
                 104,524287
                 112,190650
                 120,381300
                 128, 47662
                 136,238312
                 144,428962
                 152, 95325
                 160,285975
                 168,476625
                 176,142987
                 184,333637
                 192,524287
                 200,190650
                 208,381300
                 216, 47662
                 224,238312
                 232,428962
                 240, 95325
                 248,285975
                 256,476625
                 264,142987
                 272,333637
                 280,524287
                 288,190650
                 296,381300
                 304, 47662
                 312,238312
                 320,428962
                 328, 95325
                 336,285975
                 344,476625
                 352,142987
                 360,333637
                 368,524287
                 376,190650
                 384,381300
                 392, 47662
                 400,238312
                 408,428962
                 416, 95325
                 424,285975
                 432,476625
                 440,142987
                 448,333637
                 456,524287
                 464,190650
                 472,381300
                 480, 47662
                 488,238312
                 496,428962
                 504, 95325
                 512,285975
                 520,476625
                 528,142987
                 536,333637
                 544,524287
                 552,190650
                 560,381300
                 568, 47662
                 576,238312
                 584,428962
                 592, 95325
                 600,285975
                 608,476625
                 616,142987
                 624,333637
                 632,524287
                 640,190650
                 648,381300
                 656, 47662
                 664,238312
                 672,428962
                 680, 95325
                 688,285975
                 696,476625
                 704,142987
                 712,333637
                 720,524287
                 728,190650
                 736,381300
                 744, 47662
                 752,238312
                 760,428962
                 768, 95325
                 776,285975
                 784,476625
                 792,142987
                 800,333637
                 808,524287
                 816,190650
                 824,381300
                 832, 47662
                 840,238312
                 848,428962
                 856, 95325
                 864,285975
                 872,476625
                 880,142987
                 888,333637
                 896,524287
                 904,190650
                 912,381300
                 920, 47662
                 928,238312
                 936,428962
                 944, 95325
                 952,285975
                 960,476625
                 968,142987
                 976,333637
                 984,524287
                 992,190650
                1000,381300
                1008, 47662
                1016,238312
                1024,428962
                1032, 95325
                1040,285975
                1048,476625
                1056,142987
                1064,333637
                1072,524287
                1080,190650
                1088,381300
                1096, 47662
                1104,238312
                1112,428962
                1120, 95325
                1128,285975
                1136,476625
                1144,142987
                1152,333637
                1160,524287
                1168,190650
                1176,381300
                1184, 47662
                1192,238312
                1200,428962
                1208, 95325
                1216,285975
                1224,476625
                1232,142987
                1240,333637
                1248,524287
                1256,190650
                1264,381300
                1272, 47662
                1280,238312
                1288,428962
                1296, 95325
                1304,285975
                1312,476625
                1320,142987
                1328,333637
                1336,524287
                1344,190650
                1352,381300
                1360, 47662
                1368,238312
                1376,428962
                1384, 95325
                1392,285975
                1400,476625
                1408,142987
                1416,333637
                1424,524287
                1432,190650
                1440,381300
                1448, 47662
                1456,238312
                1464,428962
                1472, 95325
                1480,285975
                1488,476625
                1496,142987
                1504,333637
                1512,524287
                1520,190650
                1528,381300
                1536, 47662
                1544,238312
                1552,428962
                1560, 95325
                1568,285975
                1576,476625
                1584,142987
                1592,333637
                1600,524287
                1608,190650
                1616,381300
                1624, 47662
                1632,238312
                1640,428962
                1648, 95325
                1656,285975
                1664,476625
                1672,142987
                1680,333637
                1688,524287
                1696,190650
                1704,381300
                1712, 47662
                1720,238312
                1728,428962
                1736, 95325
                1744,285975
                1752,476625
                1760,142987
                1768,333637
                1776,524287
                1784,190650
                1792,381300
                1800, 47662
                1808,238312
                1816,428962
                1824, 95325
                1832,285975
                1840,476625
                1848,142987
                1856,333637
                1864,524287
                1872,190650
                1880,381300
                1888, 47662
                1896,238312
                1904,428962
                1912, 95325
                1920,285975
                1928,476625
                1936,142987
                1944,333637
                1952,524287
                1960,190650
                1968,381300
                1976, 47662
                1984,238312
                1992,428962
                2000, 95325
                2008,285975
                2016,476625
                2024,142987
                2032,333637
                2040,524287
                2048,190650
                2056,381300
                2064, 47662
                2072,238312
                2080,428962
                2088, 95325
                2096,285975
                2104,476625
                2112,142987
                2120,333637
                2128,524287
                2136,190650
                2144,381300
                2152, 47662
                2160,238312
                2168,428962
                2176, 95325
                2184,285975
                2192,476625
                2200,142987
                2208,333637
                2216,524287
                2224,190650
                2232,381300
                2240, 47662
                2248,238312
                2256,428962
                2264, 95325
                2272,285975
                2280,476625
                2288,142987
                2296,333637
                2304,524287
                2312,190650
                2320,381300
                2328, 47662
                2336,238312
                2344,428962
                2352, 95325
                2360,285975
                2368,476625
                2376,142987
                2384,333637
                2392,524287
                2400,190650
                2408,381300
                2416, 47662
                2424,238312
                2432,428962
                2440, 95325
                2448,285975
                2456,476625
                2464,142987
                2472,333637
                2480,524287
                2488,190650
                2496,381300
                2504, 47662
                2512,238312
                2520,428962
                2528, 95325
                2536,285975
                2544,476625
                2552,142987
                2560,333637
                2568,524287
                2576,190650
                2584,381300
                2592, 47662
                2600,238312
                2608,428962
                2616, 95325
                2624,285975
                2632,476625
                2640,142987
                2648,333637
                2656,524287
                2664,190650
                2672,381300
                2680, 47662
                2688,238312
                2696,428962
                2704, 95325
                2712,285975
                2720,476625
                2728,142987
                2736,333637
                2744,524287
                2752,190650
                2760,381300
                2768, 47662
                2776,238312
                2784,428962
                2792, 95325
                2800,285975
                2808,476625
                2816,142987
                2824,333637
                2832,524287
                2840,190650
                2848,381300
                2856, 47662
                2864,238312
                2872,428962
                2880, 95325
                2888,285975
                2896,476625
                2904,142987
                2912,333637
                2920,524287
                2928,190650
                2936,381300
                2944, 47662
                2952,238312
                2960,428962
                2968, 95325
                2976,285975
                2984,476625
                2992,142987
                3000,333637
                3008,524287
                3016,190650
                3024,381300
                3032, 47662
                3040,238312
                3048,428962
                3056, 95325
                3064,285975
                3072,476625
                3080,142987
                3088,333637
                3096,524287
                3104,190650
                3112,381300
                3120, 47662
                3128,238312
                3136,428962
                3144, 95325
                3152,285975
                3160,476625
                3168,142987
                3176,333637
                3184,524287
                3192,190650
                3200,381300
                3208, 47662
                3216,238312
                3224,428962
                3232, 95325
                3240,285975
                3248,476625
                3256,142987
                3264,333637
                3272,524287
                3280,190650
                3288,381300
                3296, 47662
                3304,238312
                3312,428962
                3320, 95325
                3328,285975
                3336,476625
                3344,142987
                3352,333637
                3360,524287
                3368,190650
                3376,381300
                3384, 47662
                3392,238312
                3400,428962
                3408, 95325
                3416,285975
                3424,476625
                3432,142987
                3440,333637
                3448,524287
                3456,190650
                3464,381300
                3472, 47662
                3480,238312
                3488,428962
                3496, 95325
                3504,285975
                3512,476625
                3520,142987
                3528,333637
                3536,524287
                3544,190650
                3552,381300
                3560, 47662
                3568,238312
                3576,428962
                3584, 95325
                3592,285975
                3600,476625
                3608,142987
                3616,333637
                3624,524287
                3632,190650
                3640,381300
                3648, 47662
                3656,238312
                3664,428962
                3672, 95325
                3680,285975
                3688,476625
                3696,142987
                3704,333637
                3712,524287
                3720,190650
                3728,381300
                3736, 47662
                3744,238312
                3752,428962
                3760, 95325
                3768,285975
                3776,476625
                3784,142987
                3792,333637
                3800,524287
                3808,190650
                3816,381300
                3824, 47662
                3832,238312
                3840,428962
                3848, 95325
                3856,285975
                3864,476625
                3872,142987
                3880,333637
                3888,524287
                3896,190650
                3904,381300
                3912, 47662
                3920,238312
                3928,428962
                3936, 95325
                3944,285975
                3952,476625
                3960,142987
                3968,333637
                3976,524287
                3984,190650
                3992,381300
                4000, 47662
                4008,238312
                4016,428962
                4024, 95325
                4032,285975
                4040,476625
                4048,142987
                4056,333637
                4064,524287
                4072,190650
                4080,381300
                4088, 47662
                4096,238312
                4104,428962
                4112, 95325
                4120,285975
                4128,476625
                4136,142987
                4144,333637
                4152,524287
                4160,190650
                4168,381300
                4176, 47662
                4184,238312
                4192,428962
                4200, 95325
                4208,285975
                4216,476625
                4224,142987
                4232,333637
                4240,524287
                4248,190650
                4256,381300
                4264, 47662
                4272,238312
                4280,428962
                4288, 95325
                4296,285975
                4304,476625
                4312,142987
                4320,333637
                4328,524287
                4336,190650
                4344,381300
                4352, 47662
                4360,238312
                4368,428962
                4376, 95325
                4384,285975
                4392,476625
                4400,142987
                4408,333637
                4416,524287
                4424,190650
                4432,381300
                4440, 47662
                4448,238312
                4456,428962
                4464, 95325
                4472,285975
                4480,476625
                4488,142987
                4496,333637
                4504,524287
                4512,190650
                4520,381300
                4528, 47662
                4536,238312
                4544,428962
                4552, 95325
                4560,285975
                4568,476625
                4576,142987
                4584,333637
                4592,524287
                4600,190650
                4608,381300
                4616, 47662
                4624,238312
                4632,428962
                4640, 95325
                4648,285975
                4656,476625
                4664,142987
                4672,333637
                4680,524287
                4688,190650
                4696,381300
                4704, 47662
                4712,238312
                4720,428962
                4728, 95325
                4736,285975
                4744,476625
                4752,142987
                4760,333637
                4768,524287
                4776,190650
                4784,381300
                4792, 47662
                4800,238312
                4808,428962
                4816, 95325
                4824,285975
                4832,476625
                4840,142987
                4848,333637
                4856,524287
                4864,190650
                4872,381300
                4880, 47662
                4888,238312
                4896,428962
                4904, 95325
                4912,285975
                4920,476625
                4928,142987
                4936,333637
                4944,524287
                4952,190650
                4960,381300
                4968, 47662
                4976,238312
                4984,428962
                4992, 95325
                5000,285975
                5008,476625
                5016,142987
                5024,333637
                5032,524287
                5040,190650
                5048,381300
                5056, 47662
                5064,238312
                5072,428962
                5080, 95325
                5088,285975
                5096,476625
                5104,142987
                5112,333637
                5120,524287
                5128,190650
                5136,381300
                5144, 47662
                5152,238312
                5160,428962
                5168, 95325
                5176,285975
                5184,476625
                5192,142987
                5200,333637
                5208,524287
                5216,190650
                5224,381300
